# n48.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     211      48      -99826.6      -99826.7      0.00310996      29.1832      29.1732      0.00415413      
     212      48      -99941.4      -99941.4      0.000328626      11.6566      11.5812      0.0041073      
     213      48      -99930.5      -99930.5      0.00072967      6.06173      6.21977      0.0144303      
     214      48      -99938.8      -99939.6      0.0159893      11.229      11.0922      0.0105823      
     215      48      -99941      -99941.1      0.00222056      7.00037      6.86854      0.0102673      
     216      48      -99930.3      -99929.9      0.00829764      18.7421      18.7001      0.00503892      
     217      48      -99939      -99938.7      0.00577749      4.78374      4.73023      0.00714412      
     218      48      -99870.8      -99870.9      0.00248962      18.6856      18.9127      0.0205284      
     219      48      -99890.6      -99890.8      0.00451641      21.4886      21.3445      0.0152687      
     220      48      -99920      -99920.6      0.0130629      14.0866      13.9498      0.015665      
     221      48      -99949.1      -99948.8      0.00458159      6.15015      6.26412      0.00763232      
     222      48      -99882.1      -99882.5      0.00834913      11.387      11.3681      0.00897007      
     223      48      -99920.1      -99920      0.0021857      14.9885      15.172      0.0112113      
     224      48      -99946      -99945.9      0.00192828      3.43454      3.55576      0.0100555      
     225      48      -99958.8      -99958.9      0.000682246      4.79382      4.62999      0.0118095      
     226      48      -99918.8      -99919      0.00495529      4.98995      4.91459      0.00828132      
     227      48      -99922.5      -99922.5      0.00115347      17.8582      17.8781      0.00399775      
     228      48      -99940.5      -99940.6      0.00214467      3.12628      3.0134      0.00955214      
     229      48      -99932.7      -99932.8      0.00211652      9.50817      9.53222      0.00606917      
     230      48      -99878.4      -99878.6      0.0034383      6.01385      6.04205      0.0130827      
     231      48      -99956.5      -99956.5      0.00111866      9.92989      9.83851      0.0124072      
     232      48      -99935      -99935.1      0.00108899      15.1181      15.0792      0.0161155      
     233      48      -99935.4      -99935.6      0.0037681      10.2074      10.2998      0.0118311      
     234      48      -99824.5      -99824.6      0.00313514      16.1609      16.0797      0.00783656      
     235      48      -99734.6      -99734.9      0.00435884      37.339      37.4694      0.00791547      
     236      48      -99898.6      -99898.6      0.000493872      24.9454      25.1254      0.0130831      
     237      48      -99891.9      -99891.8      0.0032949      12.0044      11.9799      0.00489867      
     238      48      -99916.5      -99916.2      0.00506537      21.7905      21.7727      0.00444204      
     239      48      -99933.7      -99933.7      0.0011142      13.5068      13.6747      0.0145937      
     240      48      -99960.9      -99960.9      0.000757712      1.93979      1.92962      0.0123534      
     241      48      -99940.6      -99940.6      0.0012105      6.64596      6.79999      0.0267024      
     242      48      -99908.7      -99908.8      0.000340155      14.5044      14.5939      0.00869805      
     243      48      -99891.2      -99891.2      0.000839744      22.8343      22.8941      0.00493851      
     244      48      -99926.4      -99926.2      0.00393153      6.30291      6.45471      0.0116055      
     245      48      -99799.9      -99799.9      5.15579e-05      26.7741      26.7815      0.00241954      
     246      48      -99872.4      -99871.9      0.00960041      13.1305      13.1431      0.0117904      
     247      48      -99908.3      -99908.6      0.00484125      18.8985      19.0107      0.0096523      
     248      48      -99850.4      -99850.3      0.00254939      20.3784      20.4754      0.00712771      
     249      48      -99935.3      -99934.8      0.00858092      8.99967      8.95902      0.0161268      
