# md_1200K_96atom.extxyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     269      96      -570.476      -570.505      0.000310585      20.8378      20.8429      0.0231361      
     270      96      -570.058      -570.077      0.000197654      22.1065      22.137      0.0257534      
     271      96      -569.266      -569.317      0.000531219      23.8368      23.7832      0.0260283      
     272      96      -569.246      -569.315      0.000714182      23.8871      23.7979      0.0271513      
     273      96      -569.894      -569.97      0.000791852      23.026      22.8904      0.0288397      
     274      96      -571.012      -571.053      0.000424511      21.5166      21.4393      0.0288641      
     275      96      -571.542      -571.538      4.49318e-05      20.6442      20.6285      0.0284476      
     276      96      -570.667      -570.588      0.000823443      22.1209      22.1817      0.03149      
     277      96      -569.298      -569.192      0.001104      24.5073      24.5575      0.0313805      
     278      96      -567.898      -567.792      0.00110667      26.5741      26.6228      0.0314865      
     279      96      -567.98      -567.919      0.000631821      26.0821      26.088      0.0302541      
     280      96      -568.778      -568.753      0.000262849      24.7867      24.83      0.0296834      
     281      96      -569.927      -569.928      1.26134e-05      22.772      22.81      0.0288191      
     282      96      -573.51      -573.516      6.63612e-05      19.9814      19.9552      0.0229703      
     283      96      -569.401      -569.418      0.000174741      22.5906      22.5578      0.0293033      
     284      96      -568.261      -568.314      0.000549429      23.2789      23.2674      0.0284783      
     285      96      -567.657      -567.746      0.000930509      23.1746      23.1511      0.0298745      
     286      96      -567.354      -567.461      0.00111676      22.914      22.9084      0.0309252      
     287      96      -567.805      -567.876      0.000733484      22.7764      22.7495      0.0292363      
     288      96      -568.469      -568.502      0.00034146      22.1971      22.1669      0.0286905      
     289      96      -569.369      -569.35      0.000198322      20.7656      20.7358      0.0280646      
     290      96      -572.967      -572.977      0.000102443      21.0309      21.052      0.0242094      
     291      96      -569.239      -569.16      0.00082347      21.8585      21.841      0.0304587      
     292      96      -568.986      -568.902      0.000872132      22.738      22.7535      0.0310117      
     293      96      -569.152      -569.075      0.000801738      22.3836      22.4267      0.0305709      
     294      96      -569.323      -569.248      0.00078077      22.8438      22.9243      0.0335267      
     295      96      -569.222      -569.141      0.000846099      24.7944      24.9078      0.0364739      
     296      96      -570.509      -570.469      0.000410088      22.6185      22.6794      0.0299221      
     297      96      -570.234      -570.167      0.00069675      23.057      23.1491      0.0302972      
     298      96      -569.994      -569.931      0.000649149      23.5422      23.6102      0.0299467      
     299      96      -569.974      -569.945      0.000304506      23.2487      23.278      0.0297772      
     300      96      -570.192      -570.21      0.000184503      22.5255      22.5203      0.0268518      
     301      96      -570.555      -570.598      0.000448887      21.5247      21.5176      0.0259974      
     302      96      -570.517      -570.548      0.000320114      21.028      21.0437      0.0273901      
     303      96      -569.695      -569.697      2.68163e-05      22.1091      22.1078      0.030612      
     304      96      -568.905      -568.881      0.000250465      22.9132      22.9294      0.0322      
     305      96      -568.136      -568.079      0.000585343      22.6191      22.6519      0.0314933      
     306      96      -571.209      -571.212      2.66222e-05      21.6398      21.6899      0.0305649      
     307      96      -566.947      -566.826      0.00125886      23.2609      23.3794      0.0319376      
     308      96      -567.227      -567.112      0.00119555      22.9337      23.0906      0.0343265      
     309      96      -567.979      -567.887      0.000956993      21.7971      21.9323      0.0348266      
     310      96      -568.894      -568.831      0.000654865      20.6811      20.7875      0.0341882      
     311      96      -568.931      -568.869      0.000645546      21.4413      21.5315      0.0332899      
     312      96      -568.266      -568.199      0.000700284      23.4474      23.5422      0.0336762      
     313      96      -567.857      -567.818      0.000402589      24.7849      24.8721      0.032893      
     314      96      -570.17      -570.157      0.000127499      22.5126      22.5677      0.0305958      
     315      96      -569.093      -569.165      0.000749292      23.2828      23.3038      0.0298249      
     316      96      -569.99      -570.091      0.00105274      22.636      22.6361      0.025307      
     317      96      -570.616      -570.699      0.000866991      22.4056      22.3689      0.0226431      
     318      96      -570.932      -570.979      0.000489912      21.8999      21.838      0.0253796      
     319      96      -570.604      -570.622      0.000191729      22.1921      22.1236      0.0283795      
     320      96      -570.199      -570.214      0.000160811      22.5892      22.521      0.028339      
     321      96      -569.244      -569.271      0.000281976      23.3357      23.3035      0.0286652      
     322      96      -569.027      -569.006      0.000220352      23.5755      23.6169      0.0321957      
     323      96      -568.843      -568.866      0.000240898      23.5783      23.6057      0.0289888      
     324      96      -569.856      -569.868      0.000130229      22.4818      22.4907      0.0265055      
     325      96      -570.816      -570.821      5.41506e-05      21.1016      21.0788      0.0258005      
     326      96      -571.568      -571.566      2.16101e-05      19.7924      19.7918      0.0272789      
     327      96      -570.876      -570.88      3.46022e-05      20.7007      20.7492      0.0335107      
     328      96      -569.819      -569.837      0.000191519      22.1392      22.198      0.0354858      
     329      96      -568.498      -568.542      0.000462293      24.0206      24.113      0.0369843      
     330      96      -568.118      -568.102      0.00016924      24.1466      24.1892      0.0318172      
     331      96      -568.937      -568.983      0.000477895      23.9075      23.977      0.0303759      
     332      96      -570.354      -570.38      0.000271175      21.6166      21.6432      0.0292127      
     333      96      -570.877      -570.898      0.00022196      20.3521      20.3726      0.0297078      
     334      96      -569.709      -569.743      0.000354961      21.8838      21.884      0.0302521      
     335      96      -567.598      -567.651      0.000544658      24.9648      24.9612      0.0297582      
     336      96      -566.474      -566.536      0.000651491      26.268      26.2736      0.0297955      
     337      96      -566.524      -566.597      0.0007681      25.596      25.6561      0.0293931      
     338      96      -567.881      -567.962      0.000838029      23.507      23.5366      0.0278097      
     339      96      -569.186      -569.246      0.00062828      21.9575      21.9761      0.0274698      
     340      96      -569.589      -569.625      0.000375428      21.9108      21.9238      0.0289841      
     341      96      -569.42      -569.466      0.000479549      22.0244      22.0266      0.0296234      
     342      96      -568.949      -569.036      0.000902971      21.7251      21.708      0.0310911      
     343      96      -568.423      -568.544      0.00125414      21.6751      21.6451      0.0311067      
     344      96      -568.197      -568.32      0.00127922      21.8823      21.8719      0.0321628      
