# Displaced_A15.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     279      24      -279.697      -279.635      0.00256138      1.59767      1.2888      0.0124528      
     280      30      -346.586      -346.593      0.000233572      0.0779813      0.0084462      0.0049775      
     281      30      -345.745      -345.745      2.34411e-06      3.11417      3.12496      0.0209647      
# Volume_A15.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     282      8      -66.9915      -66.9907      9.62459e-05      2.57343e-14      0      4.16034e-15      
     283      8      -72.9577      -72.9578      1.57904e-05      2.2003e-13      0      3.2668e-14      
     284      8      -94.1453      -94.1457      5.02272e-05      1.89128e-14      0      2.84887e-15      
     285      8      -94.5547      -94.5547      2.49158e-06      2.37147e-14      0      3.82776e-15      
     286      8      -79.4386      -79.4384      2.38237e-05      2.2386e-13      0      3.31951e-14      
     287      8      -69.6271      -69.6278      8.43139e-05      5.91706e-14      0      7.87386e-15      
     288      8      -82.6053      -82.6049      4.4698e-05      2.78671e-14      0      4.01873e-15      
     289      8      14.8905      14.8905      3.63766e-08      1.16901e-12      0      1.92022e-13      
     290      8      -94.3681      -94.3676      6.34034e-05      1.83428e-14      0      2.53763e-15      
     291      8      -89.2481      -89.2482      1.84632e-05      2.53311e-14      0      4.19653e-15      
     292      8      -87.2111      -87.212      0.000110853      2.03183e-14      0      3.47871e-15      
     293      8      -93.669      -93.669      4.09524e-07      1.06901e-14      0      1.78393e-15      
     294      8      -7.98917      -7.98917      2.26255e-07      9.52147e-13      0      1.48508e-13      
     295      8      -84.9832      -84.9828      4.57669e-05      1.14687e-14      0      1.93141e-15      
     296      8      -92.5351      -92.5364      0.000161541      1.86039e-14      0      3.08861e-15      
     297      8      -26.7761      -26.7761      7.7416e-07      7.17212e-13      0      1.06566e-13      
     298      8      -77.5438      -77.5441      3.99897e-05      2.26597e-14      0      3.25011e-15      
     299      8      -80.1141      -80.1142      1.47943e-05      2.64163e-14      0      4.19224e-15      
     300      8      -42.1431      -42.143      1.97039e-06      5.67998e-13      0      8.6892e-14      
     301      8      -91.0422      -91.0407      0.000190623      3.77876e-14      0      5.13016e-15      
     302      8      -84.499      -84.4992      2.53159e-05      1.46627e-13      0      2.04419e-14      
     303      8      -61.8253      -61.8252      1.21376e-05      4.20899e-14      0      5.20877e-15      
     304      8      -91.1567      -91.1569      1.83852e-05      2.18148e-14      0      3.31795e-15      
     305      8      -54.6587      -54.6587      4.28909e-06      4.28199e-13      0      6.16366e-14      
     306      8      -72.2775      -72.2773      3.33392e-05      1.39682e-14      0      2.24294e-15      
     307      8      -74.9235      -74.9233      2.28664e-05      3.75027e-14      0      6.17501e-15      
     308      8      -64.7981      -64.7981      8.61661e-06      2.02822e-13      0      2.83392e-14      
     309      8      -93.0487      -93.0483      4.20039e-05      2.41348e-14      0      4.09275e-15      
     310      8      -64.3866      -64.387      5.56625e-05      3.14079e-14      0      4.73656e-15      
     311      8      -88.353      -88.3529      1.7625e-05      1.19088e-13      0      1.68508e-14      
# Volume_BCC.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     312      2      -16.7636      -16.7636      6.89358e-06      3.214e-15      0      1.13554e-15      
     313      2      16.3141      16.3141      6.50709e-08      3.1576e-13      0      1.20989e-13      
     314      2      -21.2091      -21.2091      8.79567e-06      1.1455e-14      0      3.9126e-15      
     315      2      -15.7805      -15.7805      4.42087e-07      5.47771e-14      0      2.05232e-14      
     316      2      -19.0022      -19.0022      1.60014e-06      2.27376e-14      0      7.48103e-15      
